ISO,Year,yrsoffc,eiec,gov_left,gov_right,Population,Corruption,GovEffectiveness,GDP_PC,Gini_Coefficient,GHG_Int,GDP_TOT.,Count,Market.Instr,Non.Market.Instr,TechSup.Instr,Barrier.removal,Economic.instruments,Regulatory.Instruments,RDD,EPS,EPS_MKT,EPS_NMKT,TECHSUP,SpatialLag.Count,SpatialLag.Market.Instr,SpatialLag.Non.Market.Instr,SpatialLag.TechSup.Instr,SpatialLag.Barrier.removal,SpatialLag.Economic.instruments,SpatialLag.Regulatory.Instruments,SpatialLag.RDD,SpatialLag.EPS,SpatialLag.EPS_MKT,SpatialLag.EPS_NMKT,SpatialLag.TECHSUP,Count_Difference,Market.Instr_Difference,Non.Market.Instr_Difference,TechSup.Instr_Difference,Barrier.removal_Difference,Economic.instruments_Difference,Regulatory.Instruments_Difference,RDD_Difference,EPS_Difference,EPS_MKT_Difference,EPS_NMKT_Difference,TECHSUP_Difference,SpatialLag.Count_Difference,SpatialLag.Market.Instr_Difference,SpatialLag.Non.Market.Instr_Difference,SpatialLag.TechSup.Instr_Difference,SpatialLag.Barrier.removal_Difference,SpatialLag.Economic.instruments_Difference,SpatialLag.Regulatory.Instruments_Difference,SpatialLag.RDD_Difference,SpatialLag.EPS_Difference,SpatialLag.EPS_MKT_Difference,SpatialLag.EPS_NMKT_Difference,SpatialLag.TECHSUP_Difference
JPN,1996,2,7,1,0,125757000,1.192311883,0.910290778,34756.9942,0.328783822,0.317473577,3.38E+12,1,0,0,1,0,1,0,0,1.9444444,0.83333331,2,3,1.801064286,0.011382072,0.281819206,1.507863009,0,1.519245081,0.648569621,0.366750415,0.779570505,0.452797226,1.270440486,0.615473722,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
KOR,1996,4,7,0,0,45524681,0.38219744,0.473718643,22949.2079,0.362575068,0.567664268,7.15278E+14,1,0,1,0,0,0,1,0,0.75,0,2.25,0,1.499530995,0.013932877,0.173473904,1.312124215,0,1.326057092,0.433681716,0.260207812,1.030814077,0.571567763,1.315879107,1.204995331,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MEX,1996,2,7,0,0,92452702,-0.512428641,0.225326702,24050.8781,0.697554858,0.381607667,1.25E+12,0,0,0,0,0,0,0,0,0.55555558,0.16666667,1.5,0,3.451228922,0.003553943,0.068673073,3.379001905,0,3.382555849,0.895840008,0.827166934,1.057285809,0.52181076,1.642317623,1.00772888,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NOR,1996,6,7,1,0,4381336,2.138954878,1.950875998,48218.3397,0.382932759,0.309976915,1.57034E+14,0,0,0,0,0,0,0,0,1.5277778,1.8333334,1.75,1,0.951547247,0.008307946,0.615402571,0.327836731,0,0.336144677,0.681983617,0.066581046,0.929851411,0.788736839,1.243277486,0.757539877,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NZL,1996,6,7,0,1,3732000,2.110245705,1.771766543,33314.2397,0.537350072,0.682116759,8.65893E+14,0,0,0,0,0,0,0,0,0.22222222,0.16666667,0,0.5,1.027564501,0.019687636,0.635545768,0.372331098,0,0.392018734,0.713529922,0.077984154,1.008292986,0.841390904,1.382873666,0.800614354,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RUS,1996,5,7,0,0,148160129,-1.053341627,-0.452226609,17786.7685,0.634338579,1.146286981,1.91E+12,0,0,0,0,0,0,0,0,0.055555556,0.16666667,0,0,1.03132716,0.035167737,0.648277431,0.347881992,0,0.383049728,0.72297298,0.074695548,0.95491426,0.759898984,1.306411869,0.798431898,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TUR,1996,1,7,0,1,61951134,-0.148073524,-0.076127216,18503.1926,0.638896122,0.321661779,6.33586E+14,0,0,0,0,0,0,0,0,0.5,1,0,0.5,1.068829885,0.027191287,0.626460359,0.415178238,0,0.442369525,0.719002818,0.092542459,0.939392939,0.751274327,1.294275393,0.772629062,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
USA,1996,4,7,1,0,269394000,1.571041226,1.524920464,49962.7605,0.535594974,0.562297556,9.59E+12,4,0,0,4,0,4,1,1,1.0833334,0.5,1.75,1,0.698909736,0.014148506,0.244717274,0.440043956,0,0.454192462,0.244717274,0,0.867736206,0.561079084,1.056193588,0.985935949,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ZAF,1996,2,7,1,0,45123018,0.732927382,1.020495892,15127.7794,0.608309357,0.98170737,3.45046E+14,0,0,0,0,0,0,0,0,0.30555555,0.66666669,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AUS,1997,1,7,0,1,18423037,1.837742746,1.709341288,43333.9762,0.454557425,0.785531729,5.73944E+14,1,0,1,0,0,0,2,0,0.16666667,0,0,0.5,0.973338294,0,0.37384956,0.599488734,0,1.266601138,0.706981979,1.069396524,1.126679219,0.590006478,1.626236486,1.16379468,1,0,1,0,0,0,2,0,0,0,0,0,-0.410304662,-0.01230555,0.060170468,-0.458169579,0,0.196637273,0.196401752,0.87249539,0.030610693,0.003511519,0.075292646,0.013027917
BRA,1997,3,7,1,0,166661659,0.011447897,-0.172352418,17262.272,0.685692091,0.452712196,1.69E+12,2,0,1,1,0,1,1,1,0.22222222,0.16666667,0.5,0,0.340870302,0,0.156922769,0.183947533,0,0.895175437,0.300193633,0.816737233,0.995267807,0.621366027,1.472151248,0.892286084,1,0,1,0,0,0,1,1,0,0,0,0,-1.315972019,-0.016373263,-0.223915561,-1.075683195,0,-0.380828554,-0.370550872,0.526831058,0.037858329,0.003183804,0.113582223,-0.003191039
CAN,1997,4,7,1,0,29905948,2.032809019,1.809832692,41801.8066,0.490233688,0.603943686,9.15465E+14,1,0,1,0,0,1,2,0,0.83333331,0.5,1,1,0.16130196,0,0.063046216,0.098255743,0,1.759263009,0.12611577,1.725653021,1.076964115,0.538069688,1.695784844,0.997037657,0,0,1,-1,0,0,2,0,0.33333331,0,1,0,-3.127706353,-0.004223792,-0.008896432,-3.114586129,0,-1.457802654,-0.737170392,0.934309508,0.007437288,-0.000735477,0.025415017,-0.002367677
CHE,1997,3,7,0,0,7088906,2.01944679,1.831997812,60492.9902,0.405864248,0.13573105,3.28663E+14,0,0,0,0,0,0,0,0,2.3333333,1,3.25,2.75,0.211861438,0,0.108140205,0.103721232,0,0.366661167,0.220937179,0.334130228,0.980511466,0.754543262,1.458397295,0.728593796,-1,-1,0,0,0,-1,0,0,0,0,0,0,-0.908754324,0,-0.57301889,-0.335735435,0,-0.0727955,-0.556919317,0.237432827,0.037037744,-0.023599446,0.164395392,-0.02968272
CHL,1997,4,7,1,0,14932434,1.375813007,1.217706084,19689.9533,0.724467004,0.402890216,1.84615E+14,0,0,0,0,0,0,0,0,0,0,0,0,0.726310147,0,0.310276399,0.416033748,0,1.082576023,0.526139905,0.963924017,1.003036073,0.581750973,1.50640473,0.920952478,0,0,0,0,0,0,0,0,0,0,0,0,-0.865786853,-0.007914302,0.001037775,-0.858910326,0,-0.200282354,-0.044297218,0.702725518,0.030474243,0.009608163,0.082331799,-0.000517225
CHN,1997,8,3,1,0,1230075000,-0.312572256,-0.273718588,4650.2557,0.470976048,1.493819657,3.89E+12,2,0,2,0,0,0,2,1,0.22222222,0.16666667,0.5,0,0.89235281,0,0.27611854,0.616234269,0,1.41028639,0.599385657,1.131907013,1.164912145,0.590716805,1.665721264,1.238298335,2,0,2,0,0,0,2,1,0.166666664,0,0.5,0,-0.707366209,-0.008500833,-0.03459621,-0.664269166,0,0.121282121,0.044608765,0.887844871,0.017979658,-0.006610193,0.105924372,-0.045375209
EUE,1997,3,7,1,0,404993673,0.685728186,0.804270453,35275.7,0.491761056,0.343140895,1.30214E+13,0,0,0,0,0,0,0,0,1.03098471,0.899721768,1.483983688,0.709248629,0.399634504,0,0.211264459,0.188370045,0,0.675771478,0.549671363,0.585933267,0.959637069,0.635704516,1.383144859,0.86006182,-1,0,-1,0,0,0,-1,0,0.040142382,-0.004808952,0.151355585,-0.026119492,-0.530810298,-0.087543988,0.171632827,-0.614899138,0,-0.215041693,0.337602249,0.413495784,0.017936134,0.000221572,0.101430909,-0.047844075
GBR,1997,7,7,0,1,58316954,2.016520083,1.872180343,34410.1556,0.471158268,0.356435195,1.50E+12,0,0,0,0,0,0,1,0,1,1,1.5,0.5,0.19859642,0,0.093446302,0.105150118,0,0.471190419,0.161243714,0.401419294,0.997283385,0.746314399,1.423012019,0.822523697,0,0,0,0,0,0,1,0,0,0,0,0,-1.040823649,-0.023617934,-0.528210476,-0.488995239,0,-0.146572871,-0.591772171,0.270060187,0.029097648,-0.006457531,0.128660266,-0.034909789
IDN,1997,30,2,0,0,206536095,-1.012091637,-0.699926585,6011.4178,0.55642999,0.448674975,7.06981E+14,0,0,0,0,0,0,0,0,0.25,0,0.75,0,1.082771903,0,0.383956887,0.698815016,0,1.348612861,0.781047248,1.091478829,1.156422498,0.592153978,1.578573145,1.298540364,0,0,0,0,0,0,0,0,0,0,0,0,-0.215555485,-0.007371624,0.064116758,-0.272300619,0,0.370125602,0.300924637,0.931196347,0.015809624,-0.00818369,0.078830859,-0.023218297
IND,1997,1,7,1,0,999133762,-0.319908544,-0.113032043,3239.4887,0.499865313,0.786694844,1.74E+12,0,0,0,0,0,0,0,0,0.8611111,0.33333334,2,0.25,0.478560238,0,0.247811668,0.23074857,0,0.757792776,0.506140582,0.683242148,1.028594355,0.632221179,1.516963957,0.93659789,-1,0,-1,0,0,0,-1,0,0.08333331,0,0,0.25,-0.838507104,-0.030495539,-0.11115347,-0.696858095,0,-0.200309429,-0.053911416,0.482155288,0.05676844,-0.003011321,0.156707427,0.016609214
JPN,1997,1,7,0,1,126057000,1.129121542,0.963553816,34947.2445,0.328115915,0.310340093,3.43E+12,2,0,0,2,0,3,1,2,1.9444444,0.83333331,2,3,0.598623514,0,0.500556283,0.098067231,0,0.869087677,0.616578398,0.952418507,0.815679144,0.457085809,1.37841198,0.611539566,1,0,0,1,0,2,1,2,0,0,0,0,-1.202440772,-0.011382072,0.218737077,-1.409795777,0,-0.650157403,-0.031991223,0.585668092,0.036108639,0.004288583,0.107971494,-0.003934156
KOR,1997,5,7,0,0,45953580,0.339702845,0.382137641,23950.7886,0.353840944,0.566192092,7.5897E+14,3,0,2,1,0,1,2,1,0.75,0,2.25,0,0.787895363,0,0.34416413,0.443731233,0,1.187956369,0.662262598,1.077016191,1.043434572,0.566321869,1.419828613,1.144153205,2,0,1,1,0,1,1,1,0,0,0,0,-0.711635632,-0.013932877,0.170690226,-0.868392982,0,-0.138100722,0.228580882,0.816808379,0.012620495,-0.005245894,0.103949506,-0.060842125
MEX,1997,3,7,0,0,94021207,-0.451175839,0.304848142,25138.8506,0.697554858,0.379003115,1.33E+12,0,0,0,0,0,0,0,0,0.6111111,0.33333334,1.5,0,0.144639506,0,0.07018459,0.074454916,0,1.793915879,0.13151398,1.746682644,1.067803396,0.520970709,1.685211033,0.997228282,0,0,0,0,0,0,0,0,0.05555552,0.16666667,0,0,-3.306589416,-0.003553943,0.001511516,-3.304546989,0,-1.588639969,-0.764326028,0.91951571,0.010517587,-0.000840051,0.04289341,-0.010500598
NOR,1997,1,7,1,0,4405157,2.150608897,1.931477785,50637.4918,0.397326428,0.30746828,1.65664E+14,0,0,0,0,0,1,0,0,1.4166666,2,1.75,0.5,0.171980814,0,0.093900904,0.07807991,0,0.268915923,0.311165282,0.217831964,0.966201078,0.780149118,1.371825595,0.74662849,0,0,0,0,0,1,0,0,-0.1111112,0.1666666,0,-0.5,-0.779566434,-0.008307946,-0.521501667,-0.249756821,0,-0.067228754,-0.370818335,0.151250918,0.036349667,-0.008587721,0.128548108,-0.010911387
NZL,1997,7,7,0,1,3781300,2.129349351,1.70023632,33773.9081,0.547074504,0.690429268,8.90317E+14,0,0,0,0,0,0,0,0,0.22222222,0.16666667,0,0.5,0.187632841,0,0.088107159,0.099525682,0,0.340908952,0.267936545,0.291312633,1.040909085,0.836786391,1.516158821,0.769782009,0,0,0,0,0,0,0,0,0,0,0,0,-0.83993166,-0.019687636,-0.547438608,-0.272805416,0,-0.051109781,-0.445593377,0.213328479,0.032616099,-0.004604512,0.133285155,-0.030832345
RUS,1997,6,7,0,0,147915361,-1.003857583,-0.557390049,17889.7541,0.592307348,1.06263136,1.93E+12,0,0,0,0,0,0,0,0,0.55555558,0.16666667,1.5,0,0.299583585,0,0.195732737,0.103850848,0,0.285276488,0.286865571,0.28777451,0.99174706,0.770969801,1.418955749,0.785315601,0,0,0,0,0,0,0,0,0.500000024,0,1.5,0,-0.731743575,-0.035167737,-0.452544694,-0.244031144,0,-0.097773241,-0.436107409,0.213078961,0.0368328,0.011070816,0.11254388,-0.013116296
TUR,1997,2,7,0,1,62852966,-0.251075581,-0.194494717,19415.3123,0.638964924,0.314902319,6.81596E+14,1,0,1,0,0,0,1,0,0.5,1,0,0.5,0.188794431,0,0.090258603,0.098535828,0,0.348426731,0.215587277,0.313410149,0.997717768,0.739399773,1.495764528,0.757988962,1,0,1,0,0,0,1,0,0,0,0,0,-0.880035454,-0.027191287,-0.536201756,-0.316642411,0,-0.093942794,-0.503415541,0.220867691,0.058324829,-0.011874554,0.201489136,-0.014640101
USA,1997,5,7,1,0,272657000,1.560220003,1.611723959,51546.9601,0.541848149,0.561149207,1.00E+13,0,0,0,0,0,2,0,2,1.0833334,0.5,1.75,1,0.854743373,0,0.484114999,0.370628375,0,0.784873328,0.967894194,0.422346998,0.958058789,0.576636314,1.354614688,0.942925399,-4,0,0,-4,0,-2,-1,1,0,0,0,0,0.155833637,-0.014148506,0.239397724,-0.069415582,0,0.330680866,0.72317692,0.422346998,0.090322583,0.015557231,0.298421101,-0.043010551
ZAF,1997,3,7,1,0,45666838,0.685867995,0.822602183,15129.1937,0.618302304,0.999474526,3.53563E+14,0,0,0,0,0,0,0,0,0.30555555,0.66666669,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AUS,1998,2,7,0,1,18607584,1.798129678,1.618118048,44763.1718,0.462037633,0.783801012,6.00425E+14,3,0,2,1,0,1,2,0,0.5,0,1,0.5,0.315753804,0,0.022239181,0.293514624,0,0.531547068,0.253606117,0.231366936,1.185503836,0.676076249,1.734329446,1.146105774,2,0,1,1,0,1,0,0,0.33333333,0,1,0,-0.65758449,0,-0.351610379,-0.305974111,0,-0.73505407,-0.453375862,-0.838029588,0.058824616,0.086069772,0.10809296,-0.017688906
BRA,1998,4,7,1,0,169159655,0.041475326,-0.201571122,16905.2386,0.685692091,0.460444086,1.70E+12,1,0,1,0,0,1,1,0,0.22222222,0.16666667,0.5,0,0.383834442,0,0.028367475,0.355466967,0,0.422576596,0.095477104,0.067109629,1.049121571,0.746881765,1.526401494,0.874081478,-1,0,0,-1,0,0,0,-1,0,0,0,0,0.04296414,0,-0.128555294,0.171519434,0,-0.472598841,-0.204716529,-0.749627604,0.053853764,0.125515739,0.054250245,-0.018204606
CAN,1998,5,7,1,0,30155173,2.034210443,1.877301693,43068.2929,0.491819506,0.588574098,9.53713E+14,0,0,0,0,0,0,0,0,0.83333331,0.5,1,1,0.863160041,0,0.017169776,0.845990265,0,0.886045218,0.052284814,0.035115038,1.174769243,0.811400626,1.7222813,0.990625885,-1,0,-1,0,0,-1,-2,0,0,0,0,0,0.701858081,0,-0.045876441,0.747734522,0,-0.873217792,-0.073830955,-1.690537983,0.097805128,0.273330938,0.026496456,-0.006411771
CHE,1998,4,7,0,0,7110001,2.051917791,1.906915069,61509.6889,0.413281557,0.13549442,3.35355E+14,1,0,1,0,0,0,1,0,2.1666667,1,3.25,2.25,0.195553565,0,0.023290338,0.172263227,0,0.211555156,0.055428508,0.032138169,0.981433659,0.784557734,1.437021708,0.722721548,1,0,1,0,0,0,1,0,-0.1666666,0,0,-0.5,-0.016307873,0,-0.084849867,0.068541994,0,-0.155106011,-0.165508671,-0.301992058,0.000922193,0.030014472,-0.021375587,-0.005872248
CHL,1998,5,7,1,0,15127799,1.297507286,1.097435236,20119.103,0.724467004,0.389238745,1.92333E+14,0,0,0,0,0,0,0,0,0,0,0,0,0.430587622,0,0.096725491,0.333862131,0,0.529473824,0.217737975,0.121012484,1.05582124,0.699630271,1.569445179,0.898388274,0,0,0,0,0,0,0,0,0,0,0,0,-0.295722525,0,-0.213550908,-0.082171617,0,-0.553102199,-0.30840193,-0.842911533,0.052785166,0.117879298,0.063040449,-0.022564204
CHN,1998,9,3,1,0,1241935000,-0.353955001,-0.198783293,4593.2314,0.472029234,1.407607578,3.91E+12,0,0,0,0,0,0,0,0,0.22222222,0.16666667,0.5,0,0.409719994,0,0.065662622,0.344057372,0,0.581059908,0.29328405,0.227621428,1.230699177,0.70594624,1.769464507,1.216686756,-2,0,-2,0,0,0,-2,-1,0,0,0,0,-0.482632816,0,-0.210455918,-0.272176898,0,-0.829226482,-0.306101607,-0.904285585,0.065787032,0.115229435,0.103743243,-0.02161158
EUE,1998,4,7,1,0,405612761,0.751006443,0.857148569,36219.4,0.495301221,0.329444382,1.34284E+13,0,0,0,0,0,0,0,0,1.000134607,0.896819881,1.38653141,0.717052545,0.621467008,0,0.13122522,0.490241788,0,0.58253545,0.200079587,0.068854367,1.015336939,0.715715235,1.488411365,0.84188422,0,0,0,0,0,0,0,0,-0.030850103,-0.002901887,-0.097452278,0.007803916,0.221832504,0,-0.080039239,0.301871743,0,-0.093236028,-0.349591776,-0.5170789,0.05569987,0.08001072,0.105266507,-0.0181776
GBR,1998,1,7,1,0,58487141,2.052521229,1.862164617,35939.5162,0.480323034,0.341197594,1.57E+12,1,0,0,1,0,1,0,0,1,1,1.5,0.5,0.234775261,0,0.053536202,0.181239059,0,0.226591603,0.093092334,0.039556132,1.009380377,0.792691567,1.418713433,0.816736149,1,0,0,1,0,1,-1,0,0,0,0,0,0.036178841,0,-0.0399101,0.076088941,0,-0.244598816,-0.06815138,-0.361863162,0.012096991,0.046377169,-0.004298587,-0.005787548
IDN,1998,31,2,0,0,209826788,-1.160076976,-0.694517493,5901.1354,0.508964367,0.514757073,7.11625E+14,0,0,0,0,0,0,0,0,0.25,0,0.75,0,0.438599674,0,0.138287557,0.300312117,0,0.560871651,0.389684736,0.251397179,1.18898555,0.649857672,1.712984739,1.204114193,0,0,0,0,0,0,0,0,0,0,0,0,-0.644172229,0,-0.24566933,-0.398502899,0,-0.78774121,-0.391362512,-0.84008165,0.032563052,0.057703694,0.134411594,-0.094426171
IND,1998,2,7,1,0,1018665080,-0.258726746,-0.114457399,3278.621,0.503775832,0.753646658,1.81E+12,0,0,0,0,0,0,0,0,0.8611111,0.33333334,2,0.25,0.537644707,0,0.162616941,0.375027766,0,0.471547714,0.251107725,0.088490784,1.091263518,0.714039453,1.622473885,0.937277214,0,0,0,0,0,0,0,0,0,0,0,0,0.059084469,0,-0.085194726,0.144279195,0,-0.286245061,-0.255032856,-0.594751364,0.062669163,0.081818274,0.105509928,0.000679323
JPN,1998,2,7,0,1,126400000,1.065931201,1.016816854,33918.3864,0.330418949,0.301866366,3.36E+12,0,0,0,0,0,1,1,1,2.1111112,0.83333331,2.5,3,0.58875138,0,0.110039644,0.478711736,0,0.490707259,0.110039644,0,0.891100209,0.617026781,1.414396034,0.641877862,-2,0,0,-2,0,-2,0,-1,0.1666668,0,0.5,0,-0.009872134,0,-0.390516639,0.380644505,0,-0.378380419,-0.506538754,-0.952418507,0.075421065,0.159940971,0.035984054,0.030338296
KOR,1998,1,7,0,0,46286503,0.29720825,0.290556639,22376.9011,0.360245024,0.513635719,7.19067E+14,0,0,0,0,0,0,0,0,0.75,0,2.25,0,0.509365109,0,0.150274425,0.359090684,0,0.550821839,0.326976218,0.176701793,1.107729737,0.665320579,1.573313474,1.084555138,-3,0,-2,-1,0,-1,-2,-1,0,0,0,0,-0.278530254,0,-0.193889705,-0.084640549,0,-0.63713453,-0.33528638,-0.900314398,0.064295165,0.09899871,0.153484861,-0.059598068
MEX,1998,4,7,0,0,95575245,-0.389923036,0.384369582,26210.1698,0.697554858,0.378238818,1.42E+12,0,0,0,0,0,0,0,0,0.97222221,0.66666669,2.25,0,0.864861358,0,0.017066996,0.847794363,0,0.880949242,0.04068529,0.023618295,1.162163914,0.801541923,1.694285601,0.990664305,0,0,0,0,0,0,0,0,0.36111111,0.33333335,0.75,0,0.720221852,0,-0.053117594,0.773339447,0,-0.912966638,-0.09082869,-1.723064349,0.094360518,0.280571214,0.009074568,-0.006563976
NOR,1998,1,7,0,1,4431464,2.162262917,1.912079573,50243.5973,0.373364936,0.303322873,1.65221E+14,1,0,0,1,0,1,0,0,1.4166666,2,1.75,0.5,0.217352185,0,0.021006153,0.196346031,0,0.235031123,0.054285245,0.033279092,0.978554604,0.805523553,1.37579616,0.754344109,1,0,0,1,0,0,0,0,0,0,0,0,0.045371371,0,-0.072894751,0.118266122,0,-0.033884799,-0.256880037,-0.184552872,0.012353526,0.025374435,0.003970565,0.007715619
