ISO,Year,yrsoffc,eiec,execrlc,gov_left,gov_right,Population,Corruption,GovEffectiveness,GDP_PC,Gini_Coefficient,GHG_Int,GDP_TOT.,Count,Market.Instr,Non.Market.Instr,TechSup.Instr,EPS,EPS_MKT,EPS_NMKT,TECHSUP,EPS_CC,EPS_MKT_CC,EPS_NMKT_CC,SpatialLag.Count,SpatialLag.Market.Instr,SpatialLag.Non.Market.Instr,SpatialLag.TechSup.Instr,SpatialLag.EPS,SpatialLag.EPS_MKT,SpatialLag.EPS_NMKT,SpatialLag.TECHSUP,SpatialLag.EPS_CC,SpatialLag.EPS_MKT_CC,SpatialLag.EPS_NMKT_CC
BRA,1999,5,7,Left,1,0,171641543,0.027357055,-0.079243017,16578.5746,0.685692091,0.467298013,1.71E+12,1,0,0,1,0.22222222,0.16666667,0.5,0,0.066666667,0.2,0,3.518918871,0.583392964,1.093540954,1.841984953,1.207481957,0.738268141,1.807342854,1.076834975,1.232425427,0.866936548,1.753504757
BRA,2000,6,7,Left,1,0,174018282,0.013238784,0.043085087,16894.0151,0.685692091,0.460969795,1.78E+12,4,1,3,0,0.22222222,0.16666667,0.5,0,0.066666667,0.2,0,3.072622528,0.114641807,1.146003139,1.811977582,1.301324888,0.685866652,2.192975708,1.025132332,1.301137319,0.804466467,2.073813159
BRA,2001,7,7,Left,1,0,176301203,0.047590548,0.004234871,16722.0317,0.685692091,0.462249958,1.81E+12,2,0,2,0,0.27777779,0.33333334,0.5,0,0.133333333,0.4,0,2.21720187,0.236427828,0.461574418,1.519199623,1.268573539,0.679582944,2.158469946,0.967667767,1.281102983,0.796258126,2.079383057
BRA,2002,8,7,Left,1,0,178503484,0.081942312,-0.034615345,16827.9946,0.691738337,0.46045474,1.86E+12,6,3,2,1,0.83333331,1,0.5,1,0.733333333,1.2,0,4.355740219,0.616240686,1.087387298,2.652112235,1.353881562,0.728745514,2.315407719,1.017491495,1.311292185,0.818343189,2.098041872
BRA,2003,1,7,Left,1,0,180622688,0.090239018,0.081757367,16629.6855,0.686053496,0.470506602,1.88E+12,2,0,1,1,0.75,0.5,0.5,1.25,0.616666667,0.6,0,1.559445782,0.251110987,0.414771794,0.893563001,1.412276434,0.732230239,2.431230614,1.073368497,1.42875778,0.811392172,2.40151267
BRA,2004,2,7,Left,1,0,182675143,-0.027268711,-0.092270918,17194.656,0.67862385,0.467272296,1.99E+12,1,0,1,0,0.55555558,0.16666667,0.5,1,0.4,0.2,0,2.623450587,0.650168297,0.561853188,1.411429102,1.525225288,0.744584903,2.674832326,1.156258703,1.527891955,0.759591944,2.667825219
BRA,2005,3,7,Left,1,0,184688101,-0.15374814,-0.157670245,17359.8723,0.693579651,0.456393554,2.05E+12,2,0,2,0,0.55555558,0.16666667,0.5,1,0.4,0.2,0,4.079211,0.778275654,1.135937854,2.164997492,1.607124697,0.781982877,2.8227842,1.216607039,1.615210257,0.797146701,2.831877029
BRA,2006,4,7,Left,1,0,186653106,-0.120479897,-0.391295493,17669.646,0.692297437,0.442321618,2.14E+12,2,0,1,1,0.55555558,0.16666667,0.5,1,0.4,0.2,0,7.458970344,0.262145962,2.127266184,5.069558198,1.801040843,0.795810705,3.224926319,1.382385574,1.836405357,0.810835722,3.315994775
BRA,2007,5,7,Left,1,0,188552320,-0.083988786,-0.290289968,18363.0814,0.678893937,0.423507486,2.27E+12,4,1,2,1,0.22222222,0.16666667,0.5,0,0.066666667,0.2,0,4.892981257,0.176151036,2.447820001,2.26901022,1.774643227,0.671038985,3.275034887,1.377855843,1.775722103,0.660726065,3.2885844
BRA,2008,6,7,Left,1,0,190367302,0.003437368,-0.148200899,18922.7427,0.679453586,0.414087671,2.38E+12,0,0,0,0,0.22222222,0.16666667,0.5,0,0.066666667,0.2,0,8.748800989,0.456868367,2.85194945,5.439983172,1.928748257,0.899570327,3.307645271,1.57902925,1.942717874,0.914192666,3.334931705
BRA,2009,7,7,Left,1,0,192079951,-0.079985611,-0.151303574,18545.6556,0.676549504,0.405696911,2.38E+12,3,0,2,1,0.22222222,0.16666667,0.5,0,0.066666667,0.2,0,8.670727824,0.409241699,2.711584485,5.549901641,2.089144288,0.952475037,3.352508876,1.962448984,2.077642374,0.972532737,3.297945402
BRA,2010,8,7,Left,1,0,193701929,0.043806359,-0.086862549,19581.3798,0.681031537,0.404586908,2.56E+12,3,1,1,1,0.22222222,0.16666667,0.5,0,0.066666667,0.2,0,4.219701397,0.290376538,1.858326258,2.070998601,2.122701627,0.919516949,3.562916213,1.88567174,2.024593007,0.905501648,3.282605632
BRA,2011,1,7,Left,1,0,195284734,0.168382421,-0.15240407,20003.3334,0.685496718,0.400754147,2.66E+12,3,0,1,2,0.16666667,0,0.5,0,0,0,0,2.410735357,0.242313893,0.873574261,1.294847203,2.19938236,0.919149011,3.557972537,2.121025581,2.084678253,0.898559511,3.234449666
BRA,2012,2,7,Left,1,0,196876111,-0.046854232,-0.160548672,20044.5687,0.678248037,0.405412347,2.71E+12,3,0,2,1,0.25,0,0.75,0,0,0,0,5.337166981,0.571453206,1.381526279,3.384187496,2.512490381,0.838924255,4.561279665,2.137267142,2.518016193,0.812571786,4.604209651
BRA,2013,3,7,Left,1,0,198478299,-0.097959608,-0.119030975,20309.3384,0.6709129,0.405383242,2.79E+12,2,0,1,1,0.58333331,0,0.75,1,0.333333333,0,0,4.678189975,0.137312003,1.765447744,2.775430229,2.558290414,0.889258805,4.663915191,2.12169731,2.5514626,0.873055918,4.659634571
BRA,2014,4,7,Left,1,0,200085127,-0.36611709,-0.175920635,20084.0435,0.673177055,0.414482621,2.81E+12,2,0,0,2,0.58333331,0,0.75,1,0.333333333,0,0,4.207310368,0.296266821,1.521516843,2.389526703,2.608063449,1.176162365,4.648195525,1.999832429,2.594371835,1.108116239,4.675166837
BRA,2015,5,7,Left,1,0,201675532,-0.457840711,-0.255271554,19068.8956,0.681736767,0.424637656,2.71E+12,2,1,0,1,0.6388889,0.16666667,0.75,1,0.4,0.2,0,3.082854463,0.294047379,1.259682004,1.52912508,2.663477579,1.319157385,4.67181013,1.999465416,2.664010329,1.278595437,4.713970132
BRA,2016,6,7,Left,1,0,203218114,-0.446095586,-0.249387071,18161.4438,0.6847913,0.431339562,2.62E+12,1,0,1,0,0.8888889,0.16666667,1.5,1,0.4,0.2,0,3.987737936,0.059491023,1.814691977,2.113554935,2.746749778,1.247639192,5.073186102,1.919424241,2.807062653,1.260671959,5.241091759
BRA,2017,1,7,Center,0,0,204703445,-0.559814632,-0.317140609,18123.9496,0.682204487,0.429993579,2.65E+12,2,0,2,0,0.8888889,0.16666667,1.5,1,0.4,0.2,0,3.375018505,0.673572377,1.694108335,1.007337794,2.772636223,1.29425792,5.096455014,1.927195923,2.828324956,1.246215968,5.311562977
BRA,2018,2,7,Center,0,0,206107261,-0.480954379,-0.520569623,18174.8404,0.681035565,0.41495449,2.70E+12,9,1,6,2,0.8888889,0.16666667,1.5,1,0.4,0.2,0,2.95020651,0.119052603,1.944946665,0.886207242,2.809773668,1.278372889,5.22369785,1.92725022,2.862974241,1.279529999,5.382142505
BRA,2019,1,7,Right,0,1,207455459,-0.407892704,-0.234114677,18133.6876,0.67218392,0.412032367,2.73E+12,2,0,2,0,0.8888889,0.16666667,1.5,1,0.4,0.2,0,3.832269049,1.111585573,1.967950987,0.752732489,2.868031168,1.328304333,5.25597221,2.019817017,2.922199125,1.332415903,5.414364456
BRA,2020,2,7,Right,0,1,208660842,-0.429083496,-0.465709209,17309.6692,0.701803907,0.424749636,2.64E+12,4,0,3,1,0.8888889,0.16666667,1.5,1,0.4,0.2,0,4.145640398,0.532314384,1.98177721,1.631548805,2.998708048,1.520984848,5.263897279,2.211242155,3.042741116,1.481660305,5.435320888
CAN,1996,3,7,Left,1,0,29610218,2.031407595,1.742363691,40652.2629,0.484024147,0.617962518,8.78679E+14,1,0,0,1,0.5,0.5,0,1,0.533333333,0.6,0,3.342944685,0.013988487,0.030116652,3.298839546,1.092152629,0.533776826,1.700076502,1.042604404,0.947684755,0.637004143,1.163445718
CAN,1997,4,7,Left,1,0,29905948,2.032809019,1.809832692,41801.8066,0.490233688,0.603943686,9.15465E+14,1,0,1,0,0.83333331,0.5,1,1,0.533333333,0.6,0,0.18752879,0,0.081667846,0.105860944,1.092956442,0.533088133,1.718144651,1.027636384,0.954541216,0.636700602,1.199286663
CAN,1998,5,7,Left,1,0,30155173,2.034210443,1.877301693,43068.2929,0.491819506,0.588574098,9.53713E+14,0,0,0,0,0.83333331,0.5,1,1,0.533333333,0.6,0,0.92292681,0,0.054144072,0.868782737,1.198866218,0.819665263,1.750585969,1.026347501,1.064567362,0.978441952,1.188912635
CAN,1999,6,7,Left,1,0,30401286,2.041764736,1.863190174,44945.2947,0.492712863,0.568776807,1.01E+12,2,2,0,0,0.83333331,0.5,1,1,0.533333333,0.6,0,3.710096203,0.096115074,1.736103334,1.877877794,1.168711977,0.684871032,1.802496703,1.018768428,1.014780539,0.817008702,1.208564486
CAN,2000,7,7,Left,1,0,30685730,2.049319029,1.849078655,46693.4584,0.501653162,0.559917181,1.06E+12,4,0,2,2,0.72222221,0.16666667,1,1,0.4,0.2,0,3.691270212,0.030087522,1.762764971,1.898417719,1.252272659,0.676896319,2.080041347,0.999880383,1.283898251,0.807004091,2.044810279
CAN,2001,8,7,Left,1,0,31020855,2.015775263,1.854967296,46766.0951,0.49823911,0.542355324,1.08E+12,9,0,2,7,0.72222221,0.16666667,1,1,0.4,0.2,0,1.346589986,0.087836718,0.133258337,1.125494931,1.248530346,0.676848268,2.074121734,0.994621111,1.283268174,0.80622196,2.048961453
CAN,2002,9,7,Left,1,0,31359199,1.982231498,1.860855937,47402.7574,0.500193302,0.543684204,1.11E+12,3,0,1,2,0.72222221,0.16666667,1,1,0.4,0.2,0,6.329244269,0.947430433,1.759691445,3.622122391,1.279163986,0.691908012,2.127833714,1.01775031,1.305346781,0.811618559,2.086671474
CAN,2003,1,7,Left,1,0,31642461,1.931292057,1.924679995,47666.6974,0.503020571,0.547738806,1.13E+12,10,1,6,3,1.8888888,0.16666667,4.5,1,2.066666667,0.2,5,1.163150434,0.085395918,0.083931793,0.993822723,1.30557254,0.703040282,2.1769666,1.036710818,1.3479228,0.823154685,2.183902898
CAN,2004,2,7,Left,1,0,31938807,1.805866241,1.900697708,48494.663,0.507063854,0.528537214,1.16592E+12,0,0,0,0,1.8888888,0.16666667,4.5,1,2.066666667,0.2,5,2.968529212,0.165220747,0.233048504,2.570259961,1.330683193,0.715490332,2.232304348,1.044254987,1.359633801,0.800877359,2.233769056
CAN,2005,3,7,Left,1,0,32242732,1.86970067,1.882459402,49302.0559,0.510382471,0.517256966,1.20E+12,1,1,0,0,2.0555556,0.16666667,4.5,1.5,2.233333333,0.2,5,5.394877593,0.219590616,1.751816553,3.423470424,1.350210875,0.729298464,2.266562724,1.05477151,1.381942495,0.816490089,2.274565887
CAN,2006,4,7,Left,1,0,32571193,1.952794552,1.892113328,50016.5843,0.513893446,0.502370344,1.24E+12,4,1,1,2,2.4722223,0.16666667,4.75,2.5,2.566666667,0.2,5,14.25133548,0.06988594,2.897787188,11.28366235,1.714485761,0.612229539,3.083987192,1.447240701,1.747309797,0.67370806,3.12098063
CAN,2007,1,7,Right,0,1,32888886,1.99088037,1.75481534,50335.5189,0.513893365,0.514789481,1.26E+12,11,2,1,8,2.8611112,0.33333334,5.75,2.5,2.966666667,0.4,6,6.337976764,0.055841217,3.591493306,2.690642241,1.705983125,0.593280937,3.096817128,1.427851456,1.732313254,0.651702187,3.11738612
CAN,2008,2,7,Right,0,1,33247298,1.987721443,1.782482386,49940.4997,0.507248933,0.492014369,1.27E+12,7,1,4,2,2.9444444,0.33333334,5.75,2.75,3.05,0.4,6,19.02867273,0.105354679,5.650317426,13.27300063,1.897370857,0.773313953,3.095629587,1.823169247,1.935370993,0.865621071,3.117322662
CAN,2009,3,7,Right,0,1,33630069,2.051796675,1.742083311,47769.5609,0.496996045,0.479045665,1.24E+12,3,0,1,2,3.1944444,0.33333334,5.75,3.5,3.3,0.4,6,14.16025212,0.146881715,4.814808071,9.19856233,2.254653365,1.022649054,3.124720446,2.616590664,2.301050999,1.160891847,3.125670485
CAN,2010,4,7,Right,0,1,34005902,2.061873198,1.777826786,48551.0943,0.502022507,0.475997958,1.28E+12,4,0,4,0,3.6111112,0.33333334,5.75,4.75,3.716666667,0.4,6,3.311701769,0.119252974,1.88350746,1.308941335,2.075540145,0.891256302,3.192312739,2.143051542,2.090026796,1.000609314,3.12641953
CAN,2011,5,7,Right,0,1,34339221,1.971133471,1.772545457,49013.3483,0.501403817,0.471696554,1.31E+12,8,0,6,2,3.6111112,0.33333334,5.75,4.75,3.716666667,0.4,6,2.854420836,0.117490344,0.930248714,1.806681778,2.099413869,0.892885826,3.194935449,2.210420486,2.110784782,1.002340363,3.119593498
CAN,2012,6,7,Right,0,1,34713395,1.918904424,1.756970048,49180.2861,0.496840681,0.464999816,1.33E+12,3,0,3,0,3.4444444,0.33333334,5.75,4.25,3.55,0.4,6,3.186719822,0.232303088,1.142289507,1.812127227,2.420875116,0.863173795,4.340262331,2.059189018,2.411776176,0.967637766,4.208501743
CAN,2013,7,7,Right,0,1,35080992,1.879377961,1.780741096,49639.6094,0.497511014,0.461169078,1.36E+12,4,0,4,0,3.4444444,0.33333334,5.75,4.25,3.55,0.4,6,4.204735394,0.110024175,1.96037724,2.134333979,2.498020355,0.881317868,4.361540208,2.251203087,2.482083814,0.992841474,4.202206881
CAN,2014,8,7,Right,0,1,35434066,1.832192659,1.753717661,50452.5765,0.494643633,0.456074227,1.40E+12,2,0,1,1,3.1944444,0.33333334,5.75,3.5,3.3,0.4,6,5.438402618,0.106048233,2.578181167,2.754173217,2.507971089,1.08612223,4.366216075,2.071574889,2.496523116,1.210339826,4.207654634
CAN,2015,9,7,Right,0,1,35704498,1.845650196,1.730935335,50231.7359,0.493521452,0.450601147,1.41E+12,1,0,0,1,2.5277777,0.33333334,5.75,1.5,2.633333333,0.4,6,3.724045499,0.133449627,1.795723651,1.794872221,2.559802903,1.244292247,4.373392533,2.061724185,2.561579348,1.396021892,4.226991969
CAN,2016,1,7,Left,1,0,36110803,1.944465518,1.744541049,50153.9848,0.482616079,0.442653712,1.42E+12,3,1,1,1,2.3611112,0.33333334,5.75,1,2.466666667,0.4,6,4.644726717,0.034743545,2.547328227,2.062654944,2.924266776,1.2338517,5.512832367,2.026116516,3.055567218,1.394961612,5.745623527
CAN,2017,2,7,Left,1,0,36545075,1.881446004,1.815572977,50981.8355,0.487842814,0.437703527,1.47E+12,5,0,2,3,2.5833333,0.5,5.75,1.5,2.7,0.6,6,3.143119109,0.203491065,2.523715998,0.415912046,2.928362739,1.238549609,5.501697403,2.044841453,3.054089139,1.377643817,5.739782148
CAN,2018,3,7,Left,1,0,37072620,1.79020822,1.675133944,51611.7169,0.484474071,0.434015486,1.51E+12,7,1,4,2,2.6944444,0.33333334,5.75,2,2.8,0.4,6,1.739335877,0.061789645,0.667454894,1.010091338,2.890561864,1.127902844,5.517423037,2.026359635,3.005129673,1.259857632,5.729171753
CAN,2019,4,7,Left,1,0,37618495,1.729896784,1.697310686,51803.8822,0.483042278,0.419326397,1.53E+12,10,4,4,2,2.6388888,0.66666669,5.75,1.5,2.766666667,0.8,6,5.755285091,2.308437172,2.518460956,0.928386963,2.910429679,1.158805252,5.526962022,2.045521707,3.022115719,1.294229465,5.726595986
CAN,2020,1,7,Left,1,0,38028638,1.56571281,1.598312855,48332.7247,0.496729587,0.405349042,1.45E+12,11,1,3,7,3.0277777,0.83333331,5.75,2.5,3.166666667,1,6,3.221915388,0.186696609,1.8981261,1.13709268,3.022650442,1.424623212,5.518419107,2.124909222,3.140854318,1.588692327,5.708961404
CHE,1996,2,7,-999,0,0,7071850,1.986975789,1.757080555,59586.0772,0.395014189,0.142513473,3.22934E+14,1,1,0,0,2.3333333,1,3.25,2.75,2.983333333,1,5,1.251537776,0.124404485,0.348282823,0.778850468,1.278311394,0.779628121,1.704462065,1.350844032,1.508415627,0.779628121,2.241576469
CHE,1997,3,7,-999,0,0,7088906,2.01944679,1.831997812,60492.9902,0.405864248,0.13573105,3.28663E+14,0,0,0,0,2.3333333,1,3.25,2.75,2.983333333,1,5,0.597071653,0,0.430110559,0.166961094,1.187670015,0.752248577,1.766938025,1.043823428,1.429004982,0.752248577,2.3434003
CHE,1998,4,7,-999,0,0,7110001,2.051917791,1.906915069,61509.6889,0.413281557,0.13549442,3.35355E+14,1,0,1,0,2.1666667,1,3.25,2.25,2.816666667,1,5,0.920289771,0,0.667611794,0.252677977,1.286759822,0.898939498,1.818517989,1.142821891,1.508037286,0.898939498,2.328824921
CHE,1999,1,7,-999,0,0,7143991,2.050135732,1.93162781,61273.0642,0.399127963,0.13360667,3.35861E+14,0,0,0,0,2.1666667,1,3.25,2.25,2.816666667,1,5,5.032791034,1.188345835,1.026277338,2.818167861,1.307788292,0.89776352,1.879505642,1.146095769,1.531566024,0.89776352,2.397288252
CHE,2000,2,7,-999,0,0,7184250,2.048353672,1.956340551,63518.2253,0.424153383,0.126697711,3.50484E+14,2,0,2,0,2.25,1,3.5,2.25,2.816666667,1,5,3.575633847,0.306609807,0.87814106,2.39088298,1.450435764,0.796217747,2.509667944,1.045421574,1.476034324,0.796217747,2.452698299
CHE,2001,3,7,-999,0,0,7229854,2.053684115,1.946691155,64112.7663,0.406723995,0.128282212,3.57156E+14,1,1,0,0,2.25,1,3.5,2.25,2.816666667,1,5,3.687450525,0.517265526,0.934163415,2.236021585,1.452948781,0.812575112,2.521776343,1.024494887,1.482809693,0.812575112,2.477406068
CHE,2002,4,7,-999,0,0,7284753,2.059014559,1.937041759,62787.8733,0.407601789,0.124577019,3.53721E+14,0,0,0,0,2.25,1,3.5,2.25,2.816666667,1,5,4.035451175,0.476435904,0.916263244,2.642752028,1.735815299,0.9125406,3.0850988,1.209806503,1.589662121,0.9125406,2.506348838
