ISO,Year,yrsoffc,eiec,execrlc,gov_left,gov_right,Population,Corruption,GovEffectiveness,GDP_PC,Gini_Coefficient,GHG_Int,GDP_TOT.,Count,Market.Instr,Non.Market.Instr,TechSup.Instr,Barrier.removal,Economic.instruments,Regulatory.Instruments,RDD,EPS,EPS_MKT,EPS_NMKT,TECHSUP,SpatialLag.Count,SpatialLag.Market.Instr,SpatialLag.Non.Market.Instr,SpatialLag.TechSup.Instr,SpatialLag.Barrier.removal,SpatialLag.Economic.instruments,SpatialLag.Regulatory.Instruments,SpatialLag.RDD,SpatialLag.EPS,SpatialLag.EPS_MKT,SpatialLag.EPS_NMKT,SpatialLag.TECHSUP,Count_Difference,Market.Instr_Difference,Non.Market.Instr_Difference,TechSup.Instr_Difference,Barrier.removal_Difference,Economic.instruments_Difference,Regulatory.Instruments_Difference,RDD_Difference,EPS_Difference,EPS_MKT_Difference,EPS_NMKT_Difference,TECHSUP_Difference,SpatialLag.Count_Difference,SpatialLag.Market.Instr_Difference,SpatialLag.Non.Market.Instr_Difference,SpatialLag.TechSup.Instr_Difference,SpatialLag.Barrier.removal_Difference,SpatialLag.Economic.instruments_Difference,SpatialLag.Regulatory.Instruments_Difference,SpatialLag.RDD_Difference,SpatialLag.EPS_Difference,SpatialLag.EPS_MKT_Difference,SpatialLag.EPS_NMKT_Difference,SpatialLag.TECHSUP_Difference
IDN,1996,29,2,0,0,0,203204348,-0.864106297,-0.705335677,5577.7761,0.59960502,0.450214788,6.39505E+14,0,0,0,0,0,0,0,0,0.25,0,0.75,0,1.332575914,0.040443214,0.184261042,1.107871659,0,1.212867694,0.356471853,0.236763632,1.228977264,0.583222404,1.601756289,1.501953108,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IND,1996,5,7,Left,1,0,979678458,-0.381090343,-0.111606687,3086.7113,0.493778894,0.792220843,1.62E+12,1,0,1,0,0,0,1,0,0.77777779,0.33333334,2,0,1.377670326,0.094028211,0.165007694,1.118634421,0,1.324362426,0.386947254,0.333639355,1.099347698,0.616144691,1.514853727,1.167044665,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ITA,1996,1,7,Right,0,1,56860281,0.407847583,0.840325475,41760.0061,0.466409788,0.231182602,1.88E+12,1,1,0,0,0,1,0,0,1.4166666,1,1.5,1.75,1.129591274,0.054635008,0.282668052,0.792288214,0,1.108258241,0.372852298,0.351519264,1.244465358,0.779873478,1.657218427,1.296304169,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
JPN,1996,2,7,Left,1,0,125757000,1.192311883,0.910290778,34756.9942,0.328783822,0.317473577,3.38E+12,1,0,0,1,0,1,0,0,1.9444444,0.83333331,2,3,1.869065693,0.031504055,0.18231535,1.655246288,0,1.758392714,0.572879583,0.462206603,0.837474173,0.426076552,1.35888493,0.72746097,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
KOR,1996,4,7,Center,0,0,45524681,0.38219744,0.473718643,22949.2079,0.362575068,0.567664268,7.15278E+14,1,0,1,0,0,0,1,0,0.75,0,2.25,0,1.540665908,0.035800323,0.073020336,1.431845249,0,1.527492201,0.349235409,0.336061701,1.094809528,0.553294113,1.39301501,1.338119443,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MEX,1996,2,7,Center,0,0,92452702,-0.512428641,0.225326702,24050.8781,0.697554858,0.381607667,1.25E+12,0,0,0,0,0,0,0,0,0.55555558,0.16666667,1.5,0,3.47852171,0.010835378,0.031667344,3.436018988,0,3.466544885,0.868318311,0.856341486,1.080580285,0.51839879,1.673261055,1.050080848,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NOR,1996,6,7,Left,1,0,4381336,2.138954878,1.950875998,48218.3397,0.382932759,0.309976915,1.57034E+14,0,0,0,0,0,0,0,0,1.5277778,1.8333334,1.75,1,1.004078933,0.060907487,0.236441044,0.706730403,0,0.988944824,0.338148021,0.323013911,1.126477362,0.741715398,1.483954219,1.153762481,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NZL,1996,6,7,Right,0,1,3732000,2.110245705,1.771766543,33314.2397,0.537350072,0.682116759,8.65893E+14,0,0,0,0,0,0,0,0,0.22222222,0.16666667,0,0.5,1.119328081,0.100334964,0.346705923,0.672287194,0,1.101368742,0.436264296,0.418304957,1.338353214,0.845637283,1.813390804,1.356031585,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RUS,1996,5,7,0,0,0,148160129,-1.053341627,-0.452226609,17786.7685,0.634338579,1.146286981,1.91E+12,0,0,0,0,0,0,0,0,0.055555556,0.16666667,0,0,1.087349569,0.167176579,0.267913152,0.652259838,0,1.016217969,0.383267073,0.312135472,1.151788352,0.691693087,1.553478002,1.210193994,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TUR,1996,1,7,Right,0,1,61951134,-0.148073524,-0.076127216,18503.1926,0.638896122,0.321661779,6.33586E+14,0,0,0,0,0,0,0,0,0.5,1,0,0.5,1.134953683,0.16591017,0.308096689,0.660946824,0,1.106117829,0.416896182,0.388060328,1.229373291,0.737603596,1.655841348,1.294674963,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
USA,1996,4,7,Left,1,0,269394000,1.571041226,1.524920464,49962.7605,0.535594974,0.562297556,9.59E+12,4,0,0,4,0,4,1,1,1.0833334,0.5,1.75,1,0.703186262,0.042485084,0.122963081,0.537738097,0,0.643424547,0.122963081,0.063201366,0.933823677,0.545202869,1.124206439,1.132061745,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ZAF,1996,2,7,Left,1,0,45123018,0.732927382,1.020495892,15127.7794,0.608309357,0.98170737,3.45046E+14,0,0,0,0,0,0,0,0,0.30555555,0.66666669,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AUS,1997,1,7,Right,0,1,18423037,1.837742746,1.709341288,43333.9762,0.454557425,0.785531729,5.73944E+14,1,0,1,0,0,0,2,0,0.16666667,0,0,0.5,1.104861619,0,0.450763092,0.654098527,0.009133637,1.361652966,0.804090837,1.134226037,1.178414504,0.577717789,1.691139817,1.266385896,1,0,1,0,0,0,2,0,0,0,0,0,-0.321392738,-0.050523017,0.251559154,-0.522428875,0.009133637,0.078288366,0.395857291,0.868882248,0.006412672,0.004765978,0.04892459,-0.034452562
BRA,1997,3,7,Left,1,0,166661659,0.011447897,-0.172352418,17262.272,0.685692091,0.452712196,1.69E+12,2,0,1,1,0,1,1,1,0.22222222,0.16666667,0.5,0,0.5601955,0,0.287138915,0.273056585,0.03298917,1.073718728,0.448425553,0.919438875,1.07868821,0.594722959,1.58525202,1.056089587,1,0,1,0,0,0,1,1,0,0,0,0,-1.191219981,-0.095353212,0.133748959,-1.229615728,0.03298917,-0.634544969,-0.032151157,0.482013948,-0.007889799,0.005415162,0.06991607,-0.099000656
CAN,1997,4,7,Left,1,0,29905948,2.032809019,1.809832692,41801.8066,0.490233688,0.603943686,9.15465E+14,1,0,1,0,0,1,2,0,0.83333331,0.5,1,1,0.18752879,0,0.081667846,0.105860944,0.002781456,1.801392967,0.146048328,1.761521468,1.092956442,0.533088133,1.718144651,1.027636384,0,0,1,-1,0,0,2,0,0.33333331,0,1,0,-3.155415895,-0.013988487,0.051551195,-3.192978603,0.002781456,-1.527735592,-0.691365309,0.937923958,0.000803813,-0.000688693,0.018068148,-0.01496802
CHE,1997,3,7,-999,0,0,7088906,2.01944679,1.831997812,60492.9902,0.405864248,0.13573105,3.28663E+14,0,0,0,0,0,0,0,0,2.3333333,1,3.25,2.75,0.597071653,0,0.430110559,0.166961094,0.022914392,0.474039218,0.561842101,0.390218716,1.187670015,0.752248577,1.766938025,1.043823428,-1,-1,0,0,0,-1,0,0,0,0,0,0,-0.654466123,-0.124404485,0.081827736,-0.611889374,0.022914392,-0.746257539,0.100716427,-0.039665939,-0.090641379,-0.027379544,0.06247596,-0.307020604
CHL,1997,4,7,Left,1,0,14932434,1.375813007,1.217706084,19689.9533,0.724467004,0.402890216,1.84615E+14,0,0,0,0,0,0,0,0,0,0,0,0,0.926051832,0,0.398532995,0.527518837,0.041360448,1.240145234,0.629321106,1.03056884,1.062608517,0.567294778,1.577832251,1.042698476,0,0,0,0,0,0,0,0,0,0,0,0,-0.712190927,-0.054918897,0.258810301,-0.916082331,0.041360448,-0.327322966,0.2106926,0.682714893,-0.001026377,0.009880444,0.046537495,-0.05949708
CHN,1997,8,3,Left,1,0,1230075000,-0.312572256,-0.273718588,4650.2557,0.470976048,1.493819657,3.89E+12,2,0,2,0,0,0,2,1,0.22222222,0.16666667,0.5,0,1.045418188,0,0.363456745,0.681961444,0.013833161,1.525057088,0.706690006,1.201817674,1.229313702,0.57926164,1.749671809,1.35900763,2,0,2,0,0,0,2,1,0.166666664,0,0.5,0,-0.613466766,-0.041904659,0.176183814,-0.747745921,0.013833161,-0.022283645,0.260100284,0.866772174,-0.012855626,-0.004757921,0.073822695,-0.107631668
DEU,1997,15,7,Right,0,1,82034771,1.951581836,1.768589199,42924.049,0.45098024,0.333106892,2.77E+12,1,0,1,0,0,0,1,0,1.4444444,0.83333331,2.5,1,0.386577937,0,0.141547457,0.24503048,0.054991762,0.56413098,0.332682677,0.400108494,1.101629423,0.753045053,1.400424779,1.15141839,0,0,0,0,0,-1,0,-1,-0.25,0,0,-0.75,-0.685714163,-0.205573079,0.114900224,-0.595041308,0.054991762,-0.481513887,0.199350594,0.293423644,-0.007751294,-0.006476076,0.052135307,-0.068913166
ESP,1997,1,7,Right,0,1,40057389,1.242603362,1.60866487,32277.6042,0.450593935,0.281734804,1.00E+12,2,0,0,2,1,2,0,0,1.1111112,0.83333331,1.5,1,0.36419265,0,0.291273549,0.072919101,0,0.245728036,0.447344568,0.226112548,1.200866098,0.847595311,1.603789349,1.151213621,2,0,0,2,1,2,0,0,0,0,0,0,-0.865943175,-0.155730102,0.069687652,-0.779900724,0,-0.968385289,0.157422537,-0.047786985,-0.078496258,-0.011938142,-0.003824102,-0.219726582
FRA,1997,2,7,Right,0,1,59968066,1.299091041,1.352680385,42603.2382,0.446166496,0.248114008,1.94E+12,0,0,0,0,0,0,0,0,1.4722222,1.1666666,1.5,1.75,0.640675908,0,0.346572455,0.294103453,0.108694351,0.542691041,0.531616137,0.291500067,1.155014445,0.767208922,1.686401164,1.011433209,-2,0,0,-2,0,-2,0,0,0,0,0,0,-0.240631598,-0.196152766,0.070258348,-0.11473718,0.108694351,-0.323828953,0.164598246,-0.060730311,-0.086895822,-0.003334856,0.005119116,-0.262471785
GBR,1997,7,7,Right,0,1,58316954,2.016520083,1.872180343,34410.1556,0.471158268,0.356435195,1.50E+12,0,0,0,0,0,0,1,0,1,1,1.5,0.5,0.553357038,0,0.310488115,0.242868923,0.052612389,0.722024871,0.39923663,0.525467937,1.155246834,0.728554675,1.599729757,1.137456039,0,0,0,0,0,0,1,0,0,0,0,0,-0.850859052,-0.113741446,0.086588935,-0.823706541,0.052612389,-0.65105449,0.002935697,0.160303734,-0.052173394,-0.004762996,0.045523737,-0.197280952
IDN,1997,30,2,0,0,0,206536095,-1.012091637,-0.699926585,6011.4178,0.55642999,0.448674975,7.06981E+14,0,0,0,0,0,0,0,0,0.25,0,0.75,0,1.265275349,0,0.475491938,0.789783412,0.020216632,1.486571688,0.901298072,1.170409625,1.216991908,0.576163995,1.651527314,1.423284415,0,0,0,0,0,0,0,0,0,0,0,0,-0.067300565,-0.040443214,0.291230896,-0.318088247,0.020216632,0.273703995,0.544826219,0.933645994,-0.011985356,-0.007058409,0.049771024,-0.078668694
IND,1997,1,7,Left,1,0,999133762,-0.319908544,-0.113032043,3239.4887,0.499865313,0.786694844,1.74E+12,0,0,0,0,0,0,0,0,0.8611111,0.33333334,2,0.25,0.652622293,0,0.367073191,0.285549101,0.017484294,0.857890706,0.647604471,0.741964154,1.105313173,0.618162159,1.621161804,1.076615522,-1,0,-1,0,0,0,-1,0,0.08333331,0,0,0.25,-0.725048033,-0.094028211,0.202065498,-0.83308532,0.017484294,-0.46647172,0.260657216,0.408324799,0.005965475,0.002017467,0.106308077,-0.090429143
ITA,1997,1,7,Center,0,0,56890372,0.449405029,0.834697723,42310.6565,0.468801308,0.228631906,1.92E+12,0,0,0,0,0,0,0,0,1.3333334,1,1.5,1.5,0.613685394,0,0.374645593,0.239039801,0.076248919,0.477112255,0.524488574,0.298274595,1.181962791,0.776600434,1.690111572,1.079176364,-1,-1,0,0,0,-1,0,0,-0.0833332,0,0,-0.25,-0.51590588,-0.054635008,0.091977541,-0.553248413,0.076248919,-0.631145986,0.151636276,-0.05324467,-0.062502567,-0.003273044,0.032893145,-0.217127805
JPN,1997,1,7,Right,0,1,126057000,1.129121542,0.963553816,34947.2445,0.328115915,0.310340093,3.43E+12,2,0,0,2,0,3,1,2,1.9444444,0.83333331,2,3,0.721965594,0,0.600249355,0.121716239,0.008545431,0.944297889,0.72403033,1.016110521,0.845703961,0.430903777,1.439454573,0.666753463,1,0,0,1,0,2,1,2,0,0,0,0,-1.147100099,-0.031504055,0.417934005,-1.533530049,0.008545431,-0.814094825,0.151150747,0.553903918,0.008229788,0.004827225,0.080569643,-0.060707507
KOR,1997,5,7,Center,0,0,45953580,0.339702845,0.382137641,23950.7886,0.353840944,0.566192092,7.5897E+14,3,0,2,1,0,1,2,1,0.75,0,2.25,0,0.910832323,0,0.420565901,0.490266422,0.008430864,1.28425983,0.759936441,1.149039065,1.081589084,0.547141199,1.470541581,1.227084448,2,0,1,1,0,1,1,1,0,0,0,0,-0.629833585,-0.035800323,0.347545565,-0.941578827,0.008430864,-0.243232371,0.410701032,0.812977364,-0.013220444,-0.006152914,0.077526571,-0.111034995
MEX,1997,3,7,Center,0,0,94021207,-0.451175839,0.304848142,25138.8506,0.697554858,0.379003115,1.33E+12,0,0,0,0,0,0,0,0,0.6111111,0.33333334,1.5,0,0.186700473,0,0.090643951,0.096056522,0.010339199,1.836838021,0.152733798,1.768340716,1.083603509,0.517474363,1.708049869,1.025286131,0,0,0,0,0,0,0,0,0.05555552,0.16666667,0,0,-3.291821237,-0.010835378,0.058976608,-3.339962466,0.010339199,-1.629706864,-0.715584513,0.91199923,0.003023224,-0.000924427,0.034788814,-0.024794717
NOR,1997,1,7,Left,1,0,4405157,2.150608897,1.931477785,50637.4918,0.397326428,0.30746828,1.65664E+14,0,0,0,0,0,1,0,0,1.4166666,2,1.75,0.5,0.496362656,0,0.330086409,0.166276247,0.023664854,0.456994865,0.661065864,0.331844113,1.07417148,0.737365201,1.506060589,0.979088648,0,0,0,0,0,1,0,0,-0.1111112,0.1666666,0,-0.5,-0.507716277,-0.060907487,0.093645365,-0.540454155,0.023664854,-0.531949959,0.322917844,0.008830202,-0.052305881,-0.004350197,0.02210637,-0.174673833
NZL,1997,7,7,Right,0,1,3781300,2.129349351,1.70023632,33773.9081,0.547074504,0.690429268,8.90317E+14,0,0,0,0,0,0,0,0,0.22222222,0.16666667,0,0.5,0.596935795,0,0.403866502,0.193069293,0.038346411,0.475321398,0.614142974,0.340635056,1.245434422,0.842952788,1.830999606,1.06235087,0,0,0,0,0,0,0,0,0,0,0,0,-0.522392286,-0.100334964,0.057160579,-0.479217901,0.038346411,-0.626047344,0.177878678,-0.0776699,-0.092918792,-0.002684494,0.017608802,-0.293680715
RUS,1997,6,7,0,0,0,147915361,-1.003857583,-0.557390049,17889.7541,0.592307348,1.06263136,1.93E+12,0,0,0,0,0,0,0,0,0.55555558,0.16666667,1.5,0,0.725534876,0,0.509687971,0.215846904,0.026319899,0.500966904,0.652908045,0.45225288,1.111732613,0.707901852,1.5901182,1.037177775,0,0,0,0,0,0,0,0,0.500000024,0,1.5,0,-0.361814693,-0.167176579,0.241774819,-0.436412934,0.026319899,-0.515251065,0.269640972,0.140117408,-0.040055739,0.016208765,0.036640198,-0.173016218
TUR,1997,2,7,Right,0,1,62852966,-0.251075581,-0.194494717,19415.3123,0.638964924,0.314902319,6.81596E+14,1,0,1,0,0,0,1,0,0.5,1,0,0.5,0.557714288,0,0.367539942,0.190174346,0.036667034,0.486486089,0.516150224,0.371630604,1.175100285,0.724077411,1.766479143,1.034744274,1,0,1,0,0,0,1,0,0,0,0,0,-0.577239395,-0.16591017,0.059443253,-0.470772478,0.036667034,-0.61963174,0.099254042,-0.016429724,-0.054273007,-0.013526185,0.110637795,-0.259930689
USA,1997,5,7,Left,1,0,272657000,1.560220003,1.611723959,51546.9601,0.541848149,0.561149207,1.00E+13,0,0,0,0,0,2,0,2,1.0833334,0.5,1.75,1,0.994050475,0,0.579198473,0.414852003,0.0099314,0.856324634,1.094775724,0.450107211,1.002629772,0.561973761,1.411490345,1.034425255,-4,0,0,-4,0,-2,-1,1,0,0,0,0,0.290864214,-0.042485084,0.456235392,-0.122886094,0.0099314,0.212900087,0.971812643,0.386905845,0.068806095,0.016770891,0.287283906,-0.09763649
ZAF,1997,3,7,Left,1,0,45666838,0.685867995,0.822602183,15129.1937,0.618302304,0.999474526,3.53563E+14,0,0,0,0,0,0,0,0,0.30555555,0.66666669,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AUS,1998,2,7,Right,0,1,18607584,1.798129678,1.618118048,44763.1718,0.462037633,0.783801012,6.00425E+14,3,0,2,1,0,1,2,0,0.5,0,1,0.5,0.480085041,0,0.148137964,0.331947077,0.010607153,0.583942975,0.414291647,0.244939378,1.266637236,0.699914207,1.826913394,1.27308404,2,0,1,1,0,1,0,0,0.33333333,0,1,0,-0.624776578,0,-0.302625128,-0.32215145,0.001473515,-0.777709991,-0.38979919,-0.88928666,0.088222731,0.122196419,0.135773577,0.006698145
BRA,1998,4,7,Left,1,0,169159655,0.041475326,-0.201571122,16905.2386,0.685692091,0.460444086,1.70E+12,1,0,1,0,0,1,1,0,0.22222222,0.16666667,0.5,0,0.785777895,0,0.315778017,0.469999878,0.036021677,0.545131233,0.462952726,0.075131355,1.199167615,0.798874054,1.699551518,1.099077244,-1,0,0,-1,0,0,0,-1,0,0,0,0,0.225582395,0,0.028639101,0.196943294,0.003032507,-0.528587495,0.014527173,-0.84430752,0.120479405,0.204151095,0.114299498,0.042987657
CAN,1998,5,7,Left,1,0,30155173,2.034210443,1.877301693,43068.2929,0.491819506,0.588574098,9.53713E+14,0,0,0,0,0,0,0,0,0.83333331,0.5,1,1,0.92292681,0,0.054144072,0.868782737,0.00271635,0.90965962,0.095412374,0.035835601,1.198866218,0.819665263,1.750585969,1.026347501,-1,0,-1,0,0,-1,-2,0,0,0,0,0,0.73539802,0,-0.027523774,0.762921794,-6.51061E-05,-0.891733347,-0.050635954,-1.725685867,0.105909776,0.28657713,0.032441318,-0.001288884
CHE,1998,4,7,-999,0,0,7110001,2.051917791,1.906915069,61509.6889,0.413281557,0.13549442,3.35355E+14,1,0,1,0,0,0,1,0,2.1666667,1,3.25,2.25,0.920289771,0,0.667611794,0.252677977,0.025017566,0.298899265,0.755452848,0.037805922,1.286759822,0.898939498,1.818517989,1.142821891,1,0,1,0,0,0,1,0,-0.1666666,0,0,-0.5,0.323218117,0,0.237501235,0.085716883,0.002103174,-0.175139953,0.193610747,-0.352412795,0.099089807,0.146690921,0.051579964,0.098998463
CHL,1998,5,7,Left,1,0,15127799,1.297507286,1.097435236,20119.103,0.724467004,0.389238745,1.92333E+14,0,0,0,0,0,0,0,0,0,0,0,0,0.699947863,0,0.262099422,0.437848441,0.040561169,0.646856262,0.472521576,0.129299815,1.156041622,0.738247399,1.664619829,1.065257603,0,0,0,0,0,0,0,0,0,0,0,0,-0.226103969,0,-0.136433573,-0.089670397,-0.000799279,-0.593288972,-0.156799531,-0.901269025,0.093433105,0.170952621,0.086787578,0.022559127
CHN,1998,9,3,Left,1,0,1241935000,-0.353955001,-0.198783293,4593.2314,0.472029234,1.407607578,3.91E+12,0,0,0,0,0,0,0,0,0.22222222,0.16666667,0.5,0,0.639017641,0,0.239380514,0.399637127,0.014858312,0.654455376,0.513829093,0.244731955,1.331828076,0.728067186,1.893778364,1.373638617,-2,0,-2,0,0,0,-2,-1,0,0,0,0,-0.406400548,0,-0.124076231,-0.282324317,0.001025151,-0.870601712,-0.192860913,-0.95708572,0.102514374,0.148805546,0.144106555,0.014630987
